Question,Subject,Answer,A,B,C,D
"একটি কুকুর একটি খরগোশকে ধরার জন্য তাড়া করে। কুকুর যে সময়ে ৪ বার লাফ দেয়, খরগোশ সে সময়ে ৫ বার লাফ দেয়। কিন্তু খরগোশ ৪ লাফে যতদূর যায়, কুকুর ৩ লাফে ততদূর যায়। কুকুর ও খরগোশের গতিবেগের অনুপাত কত?",MATHEMATICAL-REASONING,C,১৫ : ১৬,২০ : ১২,১৬ : ১৫,১২ : ২০
"এক দোকানদার ১১০ টাকা কেজি দামের কিছু চায়ের সঙ্গে ১০০ টাকা কেজি দামের দিগুণ পরিমাণ চা মিশ্রিত করে তা ১২০ টাকা কেজি দামে বিক্রি করে মোট ২,০০০ টাকা লাভ করল। দোকানদার দ্বিতীয় প্রকারে কত কেজি চা ক্রয় করেছিল?",MATHEMATICAL-REASONING,B,১০০ কেজি,৮০ কেজি,৫০ কেজি,৬০ কেজি
একটি সরলরেখার উপর অঙ্কিত বর্গের ক্ষেত্রফল ঐ সরল রেখার এক চতুর্থাংশের ওপর অঙ্কিত বর্গের ক্ষেত্রফলের কত গুণ?,MATHEMATICAL-REASONING,A,১৬,৪,৮,২
৮ জন লোক একটি কাজ ১২ দিনে করতে পারে। দুজন লোক কমিয়ে দিলে কাজটি সমাধা করতে শতকরা কত দিন বেশি লাগবে?,MATHEMATICAL-REASONING,B,২৫%,\(\mathrm{৩৩\frac{১}{৩}\%}\),৫০%,\(\mathrm{৬৬\frac{২}{৩}\%}\)
"একজন চাকুরিজীবীর বেতনের \(\mathrm{১ \over১০}\) অংশ কাপড় ক্রয়ে, \(\mathrm{১ \over৩}\) অংশ খাদ্য ক্রয়ে এবং \(\mathrm{১ \over৫}\) অংশ বাসা ভাড়ায় ব্যয় হয়। তার আয়ের শতকরা কত ভাগ অবশিষ্ট রইল?",MATHEMATICAL-REASONING,A,\(\mathrm{৩৬{২ \over৩}\%}\),\(\mathrm{৩৭{২ \over৩}\%}\),\(\mathrm{৪২{১ \over৩}\%}\),\(\mathrm{৪৬{২ \over৩}\%}\)
বাংলাদেশ সিভিল সার্ভিসের (BCS) ক্যাডার কয়টি?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,,২৯টি,২২টি,২১টি,৫টি
"বাংলাদেশের সংবিধানের কোন অনুচ্ছেদ বলে রাষ্ট্র নারী, শিশু বা অনগ্রসর নাগরিকদের অগ্রগতির জন্য বিশেষ বিধান তৈরির ক্ষমতা পায়?",GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,২৫,২৮,৪০,৪২
প্রধানমন্ত্রী নিয়োগের বাইরে রাষ্ট্রপতি প্রধানমন্ত্রীর পরামর্শ ব্যতীত কোন কাজ এককভাবে করতে পারেন?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,প্রধান নির্বাচন কমিশনার নিয়োগ,প্রধান বিচারপতি নিয়োগ,অডিটর জেনারেল নিয়োগ,পাবলিক সার্ভিস কমিশনের চেয়ারম্যান নিয়োগ
বাংলাদেশের সংবিধানের প্রথম সংশোধনীর উদ্দেশ্য কি ছিল?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,D,জরুরি অবস্থা ঘোষণা,মহিলাদের জন্য সংসদের আসন সংরক্ষণ,সুপ্রিম কোর্ট প্রতিষ্ঠা,৯৩ হাজার যুদ্ধবন্দীর বিচার অনুষ্ঠান
ঢাকা কখন সর্বপ্রথম বাংলার রাজধানী হয়েছিল?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,১২৫৫ খ্রিস্টাব্দে,১৬১০ খ্রিস্টাব্দে,১৯০৫ খ্রিস্টাব্দে,১৯৪৭ খ্রিস্টাব্দে
যমুনা বঙ্গবন্ধু সেতুর পিলার কয়টি?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,C,৭৫টি,৫৯টি,৫০টি,৪৫টি
জাতীয় সংসদে ফোরাম হয় কত জনে?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,C,৯০ জনে,৭৫ জনে,৬০ জনে,৫০ জনে
জাতীয় সংসদ ভবন কত একর জমির ওপর নির্মিত?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,৩২০ একর,২১৫ একর,১৮৫ একর,১২২ একর
সংসদ ভবনের স্থপতি কে?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,মাজহারুল হক,লুই আই কান,এফ আর খান,নভেরা আহমেদ
তত্ত্বাবধায়ক সরকারের আইনটি জাতীয় সংসদে কবে পাস করা হয়?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,C,"২১ জানুয়ারি, ১৯৯১","২২ ফেব্রুয়ারি, ১৯৯২","২৭ মার্চ, ১৯৯৬","২৮ এপ্রিল, ১৯৯৭"
ভারতের সাথে বাংলাদেশের পানি চুক্তি কোথায় স্বাক্ষরিত হয়?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,C,দার্জিলিং,কোলকাতা,নয়াদিল্লি,ঢাকা
পদ্মা ও যমুনা কোথায় মিলিত হয়েছে?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,C,চাঁদপুর,সিরাজগঞ্জ,গোয়ালন্দ,ভোলা
বাংলাদেশে কবে প্রথম গ্যাস উত্তোলন শুরু হয়?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,১৯৫৫ সালে,১৯৫৭ সালে,১৯৬৭ সালে,১৯৭২ সালে
‘লালসালু’ উপন্যাসটির লেখক কে?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,মুনির চৌধুরী,সৈয়দ ওয়ালীউল্লাহ,শরৎচন্দ্র চট্টোপাধ্যায়,শওকত আলী
বাংলাদেশে ফরায়েজী আন্দোলনের প্রবক্তা কে?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,C,দুদু মিয়া,তিতুমীর,হাজী শরীয়তুল্লাহ,সৈয়দ আহমদ
বর্তমানে বাংলাদেশে গড়পড়তা মাথাপিছু আয় কত মার্কিন ডলার?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,,২৪২ ডলার,৩০০ ডলার,২৮৯ ডলার,৪০০ ডলার
ঐতিহাসিক ২১ দফা দাবির প্রথম দাবি কি ছিল?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,প্রাদেশিক স্বায়ত্তশাসন,বাংলাকে অন্যতম রাষ্ট্রভাষা করা,পূর্ব বাংলার অর্থনৈতিক বৈষম্য দূরীকরণ,বিনা ক্ষতিপূরণে জমিদারি স্বত্বের উচ্ছেদ সাধন
বাংলাদেশের সবচেয়ে বেশি বৈদেশিক মুদ্রা অর্জিত হয় কোন খাত থেকে?,BANGLADESH-AFFAIRS,C,চা,পাট ও পাটজাত দ্রব্য,তৈরি পোশাক,চিংড়ি মাছ
সার্কভূক্ত দেশের মধ্যে শিক্ষিতের হার সর্বাধিক কোন দেশে?,BANGLADESH-AFFAIRS,,ভারতে,বাংলাদেশে,শ্রীলংকায়,নেপালে
OPEC ভুক্ত দেশ কয়টি?,INTERNATIONAL-AFFAIRS,,১০টি,১১টি,৮টি,১২টি
জাতিসংঘ কোন বছর প্রতিষ্ঠিত হয়?,INTERNATIONAL-AFFAIRS,B,১৯৪১ সালে,১৯৪৫ সালে,১৯৪৮ সালে,১৯৪৯ সালে
নর্থ আটলান্টিক ট্রিটি অর্গানাইজেশন (NATO) কোন বছর প্রতিষ্ঠিত হয়?,INTERNATIONAL-AFFAIRS,C,১৯৪৫ সালে,১৯৪৮ সালে,১৯৪৯ সালে,১৯৫১ সালে
নেলসন ম্যান্ডেলার রাজনৈতিক দলের নাম কি?,INTERNATIONAL-AFFAIRS,D,ইনকথা ফ্রিডম পার্টি,ন্যাশনালিস্ট পার্টি,আফ্রিকান সোস্যালিস্ট পার্টি,আফ্রিকান ন্যাশনাল কংগ্রেস
পার্বত্য চট্টগ্রাম শান্তিচুক্তি কত তারিখে এবং কোন বছর স্বাক্ষরিত হয়?,BANGLADESH-AFFAIRS,C,"২৩ জুন, ১৯৯৬","১২ ডিসেম্বর, ১৯৯৬","২ ডিসেম্বর, ১৯৯৭","১০ মার্চ, ১৯৯৮"
ইন্দোনেশিয়ার নতুন রাষ্ট্রপতির নাম কি?,INTERNATIONAL-AFFAIRS,,জেনারেল হাবিবি,মেঘবতী সুকর্ণপুত্রী,আবদুর রহমান ওয়াহিদ,জেনারেল বিরান্তো
সম্প্রতি কোন দেশকে কমনওয়েলথ থেকে বহিষ্কার করা হয়েছে?,INTERNATIONAL-AFFAIRS,,নাইজেরিয়া,শ্রীলংকা,পাকিস্তান,ভারত
দক্ষিণ এশীয় রাষ্ট্রগুলো কবে সাপটা চুক্তি সই করে?,INTERNATIONAL-AFFAIRS,C,১৯৭৬ সালে,১৯৮৫ সালে,১৯৯৩ সালে,১৯৯৪ সালে
শতাব্দীর সর্বশেষ অলিম্পিক কোথায় অনুষ্ঠিত হবে?,INTERNATIONAL-AFFAIRS,B,রোম,সিডনি,মস্কো,টরেন্টো
কোন চুক্তিতে পারমাণবিক পরীক্ষা বন্ধ হওয়ার কথা বলা হয়েছে?,INTERNATIONAL-AFFAIRS,B,ন্যাটো (NATO),সিটিবিটি (CTBT),এনপিটি (NPT),সল্ট (SALT)
